package_name,sha256,apk_name,size,year,apk_path,app_output_dir,contain_ad,is_downloaded,is_tested,issue,sensor_test_done,timestamp,device_serial
com.zinuzoid.xcsoar_jet,E59F98B07DD03B0C0DA0D910C8F8F05912FE89D1EFE2B041F34C39600358EB49,com.zinuzoid.xcsoar_jet,27639037.0,,E:\test\apks\E59F98B07DD03B0C0DA0D910C8F8F05912FE89D1EFE2B041F34C39600358EB49.apk,F:\\test\\output/com.zinuzoid.xcsoar_jet,False,1.0,0.0,,,,
,e170a94abc7de5af70d60befcd7e1aa808247e263ae58fa25a71f30322a1cc5c,E170A94ABC7DE5AF70D60BEFCD7E1AA808247E263AE58FA25A71F30322A1CC5C.apk,33847959.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\E170A94ABC7DE5AF70D60BEFCD7E1AA808247E263AE58FA25A71F30322A1CC5C.apk,E:\\test\\output/E170A94ABC7DE5AF70D60BEFCD7E1AA808247E263AE58FA25A71F30322A1CC5C.apk,,1.0,0.0,,,2025-10-15 05:18:24,13.209.173.201:44055
,a92ca71c4cdd97414f0a6a77065b4891c48e0e5e7925cd182a329cfc50424196,A92CA71C4CDD97414F0A6A77065B4891C48E0E5E7925CD182A329CFC50424196.apk,14187166.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A92CA71C4CDD97414F0A6A77065B4891C48E0E5E7925CD182A329CFC50424196.apk,E:\\test\\output/A92CA71C4CDD97414F0A6A77065B4891C48E0E5E7925CD182A329CFC50424196.apk,,1.0,0.0,,,2025-10-15 05:18:24,13.209.173.201:44055
,a862495d8749d0f1d0c4f5ba554ab7ce771f8c4f94822de13ac61aaed5cda5f2,A862495D8749D0F1D0C4F5BA554AB7CE771F8C4F94822DE13AC61AAED5CDA5F2.apk,14905620.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A862495D8749D0F1D0C4F5BA554AB7CE771F8C4F94822DE13AC61AAED5CDA5F2.apk,E:\\test\\output/A862495D8749D0F1D0C4F5BA554AB7CE771F8C4F94822DE13AC61AAED5CDA5F2.apk,,1.0,0.0,,,2025-10-15 05:18:26,13.209.173.201:44055
,a7f37211d8302dfbceeedf96e8719bd36366540a008d0be2dfe16e7d7f27e4b1,A7F37211D8302DFBCEEEDF96E8719BD36366540A008D0BE2DFE16E7D7F27E4B1.apk,5271527.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A7F37211D8302DFBCEEEDF96E8719BD36366540A008D0BE2DFE16E7D7F27E4B1.apk,E:\\test\\output/A7F37211D8302DFBCEEEDF96E8719BD36366540A008D0BE2DFE16E7D7F27E4B1.apk,,1.0,0.0,,,2025-10-15 05:18:26,13.209.173.201:44055
,a79c72b78f63107a2a82b228051047d7185c5cb5587e5e1e05535eb7a596077c,A79C72B78F63107A2A82B228051047D7185C5CB5587E5E1E05535EB7A596077C.apk,3123748.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A79C72B78F63107A2A82B228051047D7185C5CB5587E5E1E05535EB7A596077C.apk,E:\\test\\output/A79C72B78F63107A2A82B228051047D7185C5CB5587E5E1E05535EB7A596077C.apk,,1.0,0.0,,,2025-10-15 05:18:27,13.209.173.201:44055
,a743b420493a8302c6b2901e0d1b3702187e5c5e0ce32ebc84517b4e178df4aa,A743B420493A8302C6B2901E0D1B3702187E5C5E0CE32EBC84517B4E178DF4AA.apk,39580505.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A743B420493A8302C6B2901E0D1B3702187E5C5E0CE32EBC84517B4E178DF4AA.apk,E:\\test\\output/A743B420493A8302C6B2901E0D1B3702187E5C5E0CE32EBC84517B4E178DF4AA.apk,,1.0,0.0,,,2025-10-15 05:18:28,13.209.173.201:44055
,a713d9466170146e7d8edece56a0e8b11bf64af8464481c0416b12039e3850cd,A713D9466170146E7D8EDECE56A0E8B11BF64AF8464481C0416B12039E3850CD.apk,20750467.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A713D9466170146E7D8EDECE56A0E8B11BF64AF8464481C0416B12039E3850CD.apk,E:\\test\\output/A713D9466170146E7D8EDECE56A0E8B11BF64AF8464481C0416B12039E3850CD.apk,,1.0,0.0,,,2025-10-15 05:18:30,13.209.173.201:44055
,a70e35611411b3fa026cb0d4afc451321e09cde64174f7512c52fe5b26575e5c,A70E35611411B3FA026CB0D4AFC451321E09CDE64174F7512C52FE5B26575E5C.apk,29251535.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A70E35611411B3FA026CB0D4AFC451321E09CDE64174F7512C52FE5B26575E5C.apk,E:\\test\\output/A70E35611411B3FA026CB0D4AFC451321E09CDE64174F7512C52FE5B26575E5C.apk,,1.0,0.0,,,2025-10-15 05:18:32,13.209.173.201:44055
,a66a4876c79abef02c7bd7c39dcb31c4cafccac8fb2e586fc4c2343ea65ad1a5,A66A4876C79ABEF02C7BD7C39DCB31C4CAFCCAC8FB2E586FC4C2343EA65AD1A5.apk,26170277.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A66A4876C79ABEF02C7BD7C39DCB31C4CAFCCAC8FB2E586FC4C2343EA65AD1A5.apk,E:\\test\\output/A66A4876C79ABEF02C7BD7C39DCB31C4CAFCCAC8FB2E586FC4C2343EA65AD1A5.apk,,1.0,0.0,,,2025-10-15 05:18:37,13.209.173.201:44055
,a63a2e465e4d5302cf8d6d497fd1ca8b6313a659498bacb3ed9ad2c2cbaff669,A63A2E465E4D5302CF8D6D497FD1CA8B6313A659498BACB3ED9AD2C2CBAFF669.apk,49135178.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A63A2E465E4D5302CF8D6D497FD1CA8B6313A659498BACB3ED9AD2C2CBAFF669.apk,E:\\test\\output/A63A2E465E4D5302CF8D6D497FD1CA8B6313A659498BACB3ED9AD2C2CBAFF669.apk,,1.0,0.0,,,2025-10-15 05:18:37,13.209.173.201:44055
,a5381f5d7ae227c66cd44fa507330fffd9f3625e01457eaf62c04412baf33533,A5381F5D7AE227C66CD44FA507330FFFD9F3625E01457EAF62C04412BAF33533.apk,45920959.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A5381F5D7AE227C66CD44FA507330FFFD9F3625E01457EAF62C04412BAF33533.apk,E:\\test\\output/A5381F5D7AE227C66CD44FA507330FFFD9F3625E01457EAF62C04412BAF33533.apk,,1.0,0.0,,,2025-10-15 05:18:39,13.209.173.201:44055
,a439b6300a00d4cec24fd0ccf55db44a8fd7f5cd206b95bf20748ccdbed20b8d,A439B6300A00D4CEC24FD0CCF55DB44A8FD7F5CD206B95BF20748CCDBED20B8D.apk,33701307.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A439B6300A00D4CEC24FD0CCF55DB44A8FD7F5CD206B95BF20748CCDBED20B8D.apk,E:\\test\\output/A439B6300A00D4CEC24FD0CCF55DB44A8FD7F5CD206B95BF20748CCDBED20B8D.apk,,1.0,0.0,,,2025-10-15 05:18:40,13.209.173.201:44055
,a4585b9c0f63d490ee4729ac4b67b966f1abdb23a2cdac42647f99f031d315d2,A4585B9C0F63D490EE4729AC4B67B966F1ABDB23A2CDAC42647F99F031D315D2.apk,13719736.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A4585B9C0F63D490EE4729AC4B67B966F1ABDB23A2CDAC42647F99F031D315D2.apk,E:\\test\\output/A4585B9C0F63D490EE4729AC4B67B966F1ABDB23A2CDAC42647F99F031D315D2.apk,,1.0,0.0,,,2025-10-15 05:18:40,13.209.173.201:44055
,a41729d585fe425f4877cc5e090919226e453fe73c55d28b31df19881c06f796,A41729D585FE425F4877CC5E090919226E453FE73C55D28B31DF19881C06F796.apk,68725234.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A41729D585FE425F4877CC5E090919226E453FE73C55D28B31DF19881C06F796.apk,E:\\test\\output/A41729D585FE425F4877CC5E090919226E453FE73C55D28B31DF19881C06F796.apk,,1.0,0.0,,,2025-10-15 05:18:43,13.209.173.201:44055
,a32ba0cb0bea45464cab91037f63155b8a586c7e8676a879366a94e5f1bb09e9,A32BA0CB0BEA45464CAB91037F63155B8A586C7E8676A879366A94E5F1BB09E9.apk,11311336.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A32BA0CB0BEA45464CAB91037F63155B8A586C7E8676A879366A94E5F1BB09E9.apk,E:\\test\\output/A32BA0CB0BEA45464CAB91037F63155B8A586C7E8676A879366A94E5F1BB09E9.apk,,1.0,0.0,,,2025-10-15 05:18:43,13.209.173.201:44055
,a34217725bead27e0d5b8afb86e7595de725656b71939410619ea9b38f4556a0,A34217725BEAD27E0D5B8AFB86E7595DE725656B71939410619EA9B38F4556A0.apk,5897668.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A34217725BEAD27E0D5B8AFB86E7595DE725656B71939410619EA9B38F4556A0.apk,E:\\test\\output/A34217725BEAD27E0D5B8AFB86E7595DE725656B71939410619EA9B38F4556A0.apk,,1.0,0.0,,,2025-10-15 05:18:44,13.209.173.201:44055
,a2ba7c4768ee64806be87804e6e5c0ac96976e137a51ee0b7607be11ab2f2b17,A2BA7C4768EE64806BE87804E6E5C0AC96976E137A51EE0B7607BE11AB2F2B17.apk,48654391.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A2BA7C4768EE64806BE87804E6E5C0AC96976E137A51EE0B7607BE11AB2F2B17.apk,E:\\test\\output/A2BA7C4768EE64806BE87804E6E5C0AC96976E137A51EE0B7607BE11AB2F2B17.apk,,1.0,0.0,,,2025-10-15 05:18:44,13.209.173.201:44055
,a278c11cf561d603b308fca83dc97384af2a8b8e6cab3f646aca55e6a0b30688,A278C11CF561D603B308FCA83DC97384AF2A8B8E6CAB3F646ACA55E6A0B30688.apk,11194860.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A278C11CF561D603B308FCA83DC97384AF2A8B8E6CAB3F646ACA55E6A0B30688.apk,E:\\test\\output/A278C11CF561D603B308FCA83DC97384AF2A8B8E6CAB3F646ACA55E6A0B30688.apk,,1.0,0.0,,,2025-10-15 05:18:45,13.209.173.201:44055
