app_name,has_ad,type2_detected,type2_features,type3_detected,type3_features,type4_detected,type4_features,type5_detected,type5_features,type6_detected,type6_features,analysis_date
15DD8AF4F2D63BFFC4009E243B14766FEA385E48E75B069410C9457D54DB6618.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1B887213AD4CC25D922B4BD412BBF1D54D8718F00E1BECA2C9D26F798851FA50.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1C68F9DA0100BDD0D6912873768DC3EC597241AF573AF1DD57B4DDDE85A48E17.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1C514484BDE6336856D38E52A6030DC0C90BE5569D1941F2AE1EF62045B0A938.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1D15427A8FA52E5101C2A576D7FC73A6D55E33F7969AA7C9E20906E1F8E5DB15.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1D55ED5E503CBF89EE8F4B12AE0183CA14803998E12F8EC750C522B2AD8302D5.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1F1889C3FE704D25389F1D5F4A68E3637CD3C1274C2FCB7F327B1B099D37C6EC.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1D6F5C87BC0DD0287C81DAB49D14A8497AE733F55B4B79909C93A219D24DF4DF.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
1F88D15ADD17DFFC1B3F9A3305E22F0CAD60CD6A7467CEE6E4830AF3BE7D533B.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
2139011DE9A319E035ED26669F074A8992F1D867FB0622D38DC249FCCE97BFDE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
21A547514F4A022A75319FABF5B0597A0A64359841214977709511D789D9CC37.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:31
241E304BC652BDDB466506A15D56848509B5B68BC1A673684DF9D376AE8A608D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
24F0E2611D22E9BA49BCB8C047DA6553C4309782E3C847C95C5FF8A552379614.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
237385FEDD2DE07074ED714B60E7CE323ED912AA87A48FC09B852132EABA50C3.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2820FAF0A63807CD3909E65BBB7FADCD53EBA33F837FB1CB2237C49966F7E7DA.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
294927991D48B738A4DADE50F43D482DA5D8CD9B885BC61602C5066D6C71E58F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
285C45E52AA8AAE40F517103C7FE5DA0338A53AC96D1BC4F1F7E275495313DAE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2A0C0B0FCE954F2C3F1D955D045F6EFC332DF094751A58CF2E4A5D8B72700F23.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2A99FCF3C4E508627C726171335AD84216890B27F06913109C0D469D7C683970.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2BB098A876782C38674281CFF8DA4D08DA6E0B70687873451649A7D3BA446F61.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2AFCA0C9058A9CE552CE5B566A6F8EDB99B306A1B5F1C3B907A2452DE7216D18.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
